"externalId","name","criteriaId","weightage","expressionVariables","L1","L2","L3","status"
"D1C1_1701768731486","Planning & Execution","656eee27caf818fd44a47cd0","1.0","SCORE=656eee27caf818fd44a47cd0.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C1_1701768731486","Data based Governance","656eee27caf818fd44a47cd1","1.0","SCORE=656eee27caf818fd44a47cd1.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C2_1701768731486","Communication","656eee27caf818fd44a47cd2","1.0","SCORE=656eee27caf818fd44a47cd2.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D3C1_1701768731486","Influence","656eee27caf818fd44a47cd3","1.0","SCORE=656eee27caf818fd44a47cd3.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D4C1_1701768731486","Collaboration","656eee27caf818fd44a47cd4","1.0","SCORE=656eee27caf818fd44a47cd4.scoreOfAllQuestionInCriteria()","25<=SCORE<=50","50<SCORE<=75","75<SCORE<=100","Success."
