"externalId","name","criteriaId","weightage","expressionVariables","L1","L2","L3","status"
"D1C1_1701764496939","Planning & Execution","656edd9ac5bf66f97d900c4a","1.0","SCORE=656edd9ac5bf66f97d900c4a.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C1_1701764496939","Data based Governance","656edd9ac5bf66f97d900c4b","1.0","SCORE=656edd9ac5bf66f97d900c4b.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C2_1701764496939","Communication","656edd9ac5bf66f97d900c4c","1.0","SCORE=656edd9ac5bf66f97d900c4c.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D3C1_1701764496939","Influence","656edd9ac5bf66f97d900c4d","1.0","SCORE=656edd9ac5bf66f97d900c4d.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D4C1_1701764496939","Collaboration","656edd9ac5bf66f97d900c4e","1.0","SCORE=656edd9ac5bf66f97d900c4e.scoreOfAllQuestionInCriteria()","25<=SCORE<=50","50<SCORE<=75","75<SCORE<=100","Success."
