"externalId","name","criteriaId","weightage","expressionVariables","L1","L2","L3","status"
"D1C1_1701764284005","Planning & Execution","656edcc3c5bf66f97d900b61","1.0","SCORE=656edcc3c5bf66f97d900b61.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C1_1701764284005","Data based Governance","656edcc3c5bf66f97d900b62","1.0","SCORE=656edcc3c5bf66f97d900b62.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C2_1701764284005","Communication","656edcc3c5bf66f97d900b63","1.0","SCORE=656edcc3c5bf66f97d900b63.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D3C1_1701764284005","Influence","656edcc3c5bf66f97d900b64","1.0","SCORE=656edcc3c5bf66f97d900b64.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D4C1_1701764284005","Collaboration","656edcc3c5bf66f97d900b65","1.0","SCORE=656edcc3c5bf66f97d900b65.scoreOfAllQuestionInCriteria()","25<=SCORE<=50","50<SCORE<=75","75<SCORE<=100","Success."
